Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,TotalPages,TotalDuration,AvgTimePerPage,VisitorType_Weekend
0,0.0,0,0.0,2.9444389791664403,5.972748828827133,0.0,0.025,0.0,0.0,Dec,2,2,7,2,New_Visitor,False,2.9444389791664403,5.972748828827133,21.754629627777778,New_Visitor_False
0,0.0,0,0.0,3.044522437723423,6.242871563630242,0.0,0.015357143,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,3.044522437723423,6.242871563630242,25.666666665,Returning_Visitor_False
5,5.241747015059643,0,0.0,3.258096538021482,7.082093665734409,0.0,0.006150794,3.6349303807389233,0.6,May,2,10,1,4,Returning_Visitor,False,3.4339872044851463,7.228721003674056,45.91527776666667,Returning_Visitor_False
1,3.2188758248682006,1,5.480638923341991,2.4849066497880004,6.7339969528486705,0.016666667,0.05,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,False,2.6390573296152584,7.006242225696791,84.8076923076923,Returning_Visitor_False
0,0.0,0,0.0,2.70805020110221,6.956593061065437,0.0,0.016666667,0.0,0.0,Nov,3,2,1,20,Returning_Visitor,False,2.70805020110221,6.956593061065437,74.93214285714285,Returning_Visitor_False
0,0.0,0,0.0,2.5649493574615367,4.35242616494051,0.016666667,0.0375,0.0,0.0,Nov,2,2,3,13,Returning_Visitor,False,2.5649493574615367,4.35242616494051,6.388888889166666,Returning_Visitor_False
0,0.0,0,0.0,1.6094379124341003,4.22683374526818,0.0,0.05,0.0,0.6,May,2,2,1,2,Returning_Visitor,False,1.6094379124341003,4.22683374526818,16.875,Returning_Visitor_False
2,3.258096538021482,0,0.0,1.9459101490553132,4.189654742026425,0.0,0.025,0.0,0.0,Mar,2,2,1,2,New_Visitor,True,2.1972245773362196,4.51085950651685,11.25,New_Visitor_True
0,0.0,0,0.0,2.995732273553991,7.27320824996367,0.026315789,0.040350877,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,2.995732273553991,7.27320824996367,75.79824563157895,Returning_Visitor_False
0,0.0,0,0.0,2.0794415416798357,4.869455680633476,0.0,0.033333333,0.0,0.0,Dec,1,1,4,2,New_Visitor,True,2.0794415416798357,4.869455680633476,18.464285714285715,New_Visitor_True
3,4.04305126783455,0,0.0,4.127134385045092,7.421170404093653,0.008064516,0.025778523,0.0,0.0,Nov,1,1,7,2,Returning_Visitor,False,4.174387269895637,7.454134184666057,26.968563984375,Returning_Visitor_False
8,5.767699809459985,3,5.10594547390058,4.68213122712422,8.40023468004626,0.001169591,0.013146819,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,4.77912349311153,8.503279197218044,41.77891347542373,Returning_Visitor_False
0,0.0,0,0.0,2.4849066497880004,6.305818978475576,0.036363636,0.054545455,0.0,0.0,Nov,2,2,5,1,Returning_Visitor,False,2.4849066497880004,6.305818978475576,49.70454545454545,Returning_Visitor_False
0,0.0,0,0.0,2.772588722239781,6.08601686412502,0.023076923,0.039487179,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,2.772588722239781,6.08601686412502,29.244444446666666,Returning_Visitor_False
3,4.532599493153256,0,0.0,4.5217885770490405,8.332457723401475,0.002553191,0.022150056,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,True,4.553876891600541,8.354349699371383,45.18745567021276,Returning_Visitor_True
4,5.499951234374364,0,0.0,2.5649493574615367,7.136483208590247,0.0,0.01875,0.0,0.0,June,2,2,3,1,New_Visitor,False,2.833213344056216,7.3136736176991235,93.73,New_Visitor_False
1,4.22683374526818,0,0.0,2.5649493574615367,6.385615895315873,0.0,0.018181818,5.3930133104753954,0.0,Dec,1,1,5,3,New_Visitor,False,2.6390573296152584,6.493375553484398,50.75,New_Visitor_False
0,0.0,0,0.0,2.302585092994046,5.523099574530755,0.022222222,0.005128205,0.0,0.0,Nov,1,2,1,4,Returning_Visitor,False,2.302585092994046,5.523099574530755,27.712222222222223,Returning_Visitor_False
1,3.2771447329921766,0,0.0,0.0,0.0,0.0,0.066666667,0.0,0.0,Nov,1,1,8,8,New_Visitor,False,0.6931471805599453,3.2771447329921766,25.5,New_Visitor_False
11,6.970730078143525,1,2.3978952727983707,4.07753744390572,8.247316109698287,0.010606061,0.028059163,1.9769997422837426,0.0,May,2,5,3,1,Returning_Visitor,True,4.2626798770413155,8.495227025425187,69.86238095714286,Returning_Visitor_True
6,5.167394813084245,2,3.2268439945173775,4.68213122712422,7.432039567245008,0.0,0.016407828,1.219640317634127,0.0,June,2,4,1,2,Returning_Visitor,True,4.7535901911063645,7.543223844897625,16.40788298173913,Returning_Visitor_True
2,4.185859671057874,0,0.0,3.8066624897703196,7.055292299556685,0.0,0.013953488,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,3.8501476017100584,7.109655737067083,26.581004130434785,Returning_Visitor_False
4,5.785362461648624,0,0.0,3.4339872044851463,7.284672295901551,0.0,0.009019608,3.4344026778415566,0.0,May,2,2,4,2,Returning_Visitor,False,3.5553480614894135,7.485650592586205,52.390686264705884,Returning_Visitor_False
0,0.0,0,0.0,0.6931471805599453,0.0,0.2,0.2,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,0.6931471805599453,0.0,0.0,Returning_Visitor_False
0,0.0,0,0.0,3.044522437723423,5.622813412243016,0.066666667,0.114814815,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,3.044522437723423,5.622813412243016,13.783333335,Returning_Visitor_False
0,0.0,0,0.0,0.6931471805599453,0.0,0.2,0.2,0.0,0.6,Feb,4,2,1,3,Returning_Visitor,False,0.6931471805599453,0.0,0.0,Returning_Visitor_False
2,3.374168709274236,1,0.0,4.74493212836325,8.058983661386174,0.017699115,0.042576205,0.0,0.0,Aug,2,2,2,1,Returning_Visitor,False,4.770684624465665,8.067862324358119,27.25875864957265,Returning_Visitor_False
0,0.0,0,0.0,2.1972245773362196,6.436273634970506,0.0,0.010884354,0.0,0.0,May,3,2,4,3,Returning_Visitor,False,2.1972245773362196,6.436273634970506,77.8846153875,Returning_Visitor_False
0,0.0,0,0.0,2.833213344056216,5.36970736263471,0.00625,0.06875,0.0,0.0,Aug,2,2,1,4,Returning_Visitor,False,2.833213344056216,5.36970736263471,13.3625,Returning_Visitor_False
0,0.0,0,0.0,1.3862943611198906,5.545177444479562,0.0,0.066666667,0.0,0.0,June,2,2,3,4,Returning_Visitor,False,1.3862943611198906,5.545177444479562,85.0,Returning_Visitor_False
1,1.749199854809259,2,4.3694478524670215,4.219507705176107,7.116504939903435,0.002985075,0.0110199,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,False,4.2626798770413155,7.181505635183892,18.76980725714286,Returning_Visitor_False
7,5.988961416889864,0,0.0,3.332204510175204,6.648094689579078,0.006060606,0.03030303,2.402602586899218,0.0,Oct,1,8,3,3,Returning_Visitor,False,3.5553480614894135,7.064171960886358,34.36215686176471,Returning_Visitor_False
0,0.0,1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,3,15,Returning_Visitor,False,0.6931471805599453,0.0,0.0,Returning_Visitor_False
0,0.0,0,0.0,2.8903717578961645,7.423361763797754,0.039215686,0.05122549,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,2.8903717578961645,7.423361763797754,98.45022623529411,Returning_Visitor_False
3,5.302060352826871,0,0.0,2.1972245773362196,5.806339062981293,0.0,0.003333333,0.0,0.0,Mar,3,2,2,10,New_Visitor,False,2.4849066497880004,6.276925404487053,48.28636363636363,New_Visitor_False
4,4.065602093356446,0,0.0,3.258096538021482,6.1938269926400356,0.021428571,0.067517007,0.0,0.0,June,2,5,1,1,Returning_Visitor,False,3.4011973816621555,6.304479271244822,18.828160920689655,Returning_Visitor_False
0,0.0,0,0.0,0.6931471805599453,3.7495040759303713,0.133333333,0.15,0.0,0.0,Dec,3,2,3,1,Returning_Visitor,True,0.6931471805599453,3.7495040759303713,41.5,Returning_Visitor_True
5,4.846153655430632,0,0.0,2.772588722239781,5.661280829687579,0.005263158,0.01754386,0.0,0.0,Dec,1,1,2,10,Returning_Visitor,False,3.044522437723423,6.025302207934353,20.638333335,Returning_Visitor_False
0,0.0,0,0.0,1.9459101490553132,4.2520603082138555,0.0,0.044444444,0.0,0.0,Mar,2,2,4,3,Returning_Visitor,False,1.9459101490553132,4.2520603082138555,11.541666666666666,Returning_Visitor_False
6,7.306559362978038,0,0.0,2.5649493574615367,6.78083058540847,0.0,0.005555556,0.0,0.0,Nov,2,2,4,2,New_Visitor,True,2.9444389791664403,7.770578424724483,131.6023148333333,New_Visitor_True
1,2.8213788864092133,3,4.593097604753822,3.4965075614664802,7.102211248432092,0.005405405,0.024324324,0.821240180963332,0.0,Aug,2,2,3,2,Returning_Visitor,False,3.6109179126442243,7.191617565331053,36.86805555555556,Returning_Visitor_False
0,0.0,0,0.0,2.70805020110221,5.346631226826587,0.0,0.014285714,0.0,0.0,Nov,1,8,4,11,Returning_Visitor,True,2.70805020110221,5.346631226826587,14.921428571428573,Returning_Visitor_True
0,0.0,0,0.0,2.1972245773362196,4.914491433543353,0.0,0.05,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,2.1972245773362196,4.914491433543353,16.90625,Returning_Visitor_False
2,4.3694478524670215,0,0.0,3.1354942159291497,5.786897381366708,0.0,0.007246377,3.00089371437153,0.0,Dec,4,1,3,1,Returning_Visitor,True,3.2188758248682006,6.0014148779611505,16.791666666666668,Returning_Visitor_True
15,5.62369414596982,6,6.409763613196232,3.871201010907891,7.503766148875281,0.007377049,0.019090804,2.343465210401133,0.0,May,3,2,4,6,Returning_Visitor,True,4.23410650459726,7.900089984837074,39.654780201470594,Returning_Visitor_True
0,0.0,3,3.353406717825807,2.4849066497880004,7.063208375724724,0.030769231,0.040384615,0.0,0.0,June,3,2,2,2,Returning_Visitor,False,2.70805020110221,7.086559944591044,85.34193878571429,Returning_Visitor_False
0,0.0,0,0.0,2.4849066497880004,6.1301389417957415,0.0,0.007407407,0.0,0.0,May,1,1,1,4,Returning_Visitor,True,2.4849066497880004,6.1301389417957415,41.68181818181818,Returning_Visitor_True
3,5.149672336113466,0,0.0,3.4011973816621555,7.204109461502937,0.035714286,0.034983766,0.0,0.0,Nov,3,2,8,13,Returning_Visitor,True,3.4965075614664802,7.324042568134652,47.35379465625,Returning_Visitor_True
2,4.758749273916392,2,6.223072176834322,4.127134385045092,7.539703119262875,0.0,0.013347763,0.7110317484773142,0.0,May,2,2,1,4,Returning_Visitor,False,4.189654742026425,7.82409458127673,38.44802198461538,Returning_Visitor_False
1,3.5409593240373143,0,0.0,2.9444389791664403,7.064759027791802,0.0,0.011764706,4.014265222863743,0.0,Dec,2,4,7,2,New_Visitor,False,2.995732273553991,7.092989257223127,63.28947368421053,New_Visitor_False
0,0.0,0,0.0,4.189654742026425,7.566576052628194,0.0,0.025128205,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,4.189654742026425,7.566576052628194,29.71557109230769,Returning_Visitor_False
1,4.952299717083292,0,0.0,2.995732273553991,7.297203916807338,0.02037037,0.043333333,2.8892390666435643,0.0,Nov,3,2,2,10,Returning_Visitor,False,3.044522437723423,7.3881216954696045,80.78333334999999,Returning_Visitor_False
1,3.8372994592322094,0,0.0,2.772588722239781,4.752727750345706,0.0,0.025,0.0,0.0,Jul,2,2,3,4,New_Visitor,False,2.833213344056216,5.083265985131163,10.01875,New_Visitor_False
4,5.5254529391317835,0,0.0,2.4849066497880004,6.037870919922137,0.0,0.014285714,0.0,0.0,May,2,2,1,2,New_Visitor,False,2.772588722239781,6.505784060128229,44.53333333333333,New_Visitor_False
6,5.049856007249537,0,0.0,4.442651256490317,7.850579225864139,0.0,0.007575758,2.8658026980200644,0.0,Mar,2,2,7,2,Returning_Visitor,False,4.51085950651685,7.909203328706683,30.235787633333334,Returning_Visitor_False
0,0.0,0,0.0,1.9459101490553132,4.74493212836325,0.0,0.033333333,0.0,0.0,May,2,2,3,1,Returning_Visitor,True,1.9459101490553132,4.74493212836325,19.0,Returning_Visitor_True
0,0.0,0,0.0,1.3862943611198906,2.772588722239781,0.0,0.066666667,0.0,0.2,May,1,1,3,3,Returning_Visitor,False,1.3862943611198906,2.772588722239781,5.0,Returning_Visitor_False
0,0.0,0,0.0,1.791759469228055,5.480638923341991,0.0,0.04,0.0,0.0,Mar,2,2,9,1,Returning_Visitor,False,1.791759469228055,5.480638923341991,47.8,Returning_Visitor_False
8,5.93624994416648,3,5.583496308781699,4.110873864173311,7.632348301562825,0.014009662,0.026580162,0.9951267363895852,0.0,Mar,1,1,4,2,Returning_Visitor,False,4.276666119016055,7.903376018773527,38.104278767605635,Returning_Visitor_False
0,0.0,3,2.833213344056216,3.58351893845611,7.391887790697377,0.007894737,0.040131579,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,3.6635616461296463,7.401699205583017,43.09912281578948,Returning_Visitor_True
5,5.0647025151560054,0,0.0,4.343805421853684,8.275016175229576,0.000865801,0.013675718,0.0,0.0,Nov,2,2,8,2,Returning_Visitor,True,4.406719247264253,8.314322608804659,50.3817215345679,Returning_Visitor_True
1,4.969813299576001,4,3.8918202981106265,2.833213344056216,5.813383984571282,0.0,0.003333333,0.0,0.0,Mar,1,1,1,2,New_Visitor,False,3.091042453358316,6.264825814582809,24.988095238095237,New_Visitor_False
9,5.175773013601548,0,0.0,3.367295829986474,6.576774602743557,0.005882353,0.017058824,0.0,1.0,May,2,2,5,4,Returning_Visitor,True,3.6375861597263857,6.795876209082834,24.139253537837835,Returning_Visitor_True
0,0.0,0,0.0,1.791759469228055,4.990432586778736,0.146666667,0.186666667,0.0,0.0,Mar,3,2,7,3,Returning_Visitor,False,1.791759469228055,4.990432586778736,29.2,Returning_Visitor_False
0,0.0,0,0.0,3.6635616461296463,7.723356052478628,0.002105263,0.036549708,0.0,0.2,May,2,2,1,3,Returning_Visitor,False,3.6635616461296463,7.723356052478628,59.461403499999996,Returning_Visitor_False
1,0.0,0,0.0,2.833213344056216,7.60489448081162,0.01875,0.054166667,0.0,0.0,Nov,1,1,3,1,Returning_Visitor,False,2.8903717578961645,7.60489448081162,118.05882352941177,Returning_Visitor_False
0,0.0,0,0.0,1.3862943611198906,4.406719247264253,0.0,0.066666667,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,1.3862943611198906,4.406719247264253,27.0,Returning_Visitor_False
7,4.983606621708336,1,3.6506582412937387,4.875197323201151,8.566718609220457,0.004411765,0.012009804,0.5193820382224035,0.0,Nov,2,2,4,2,Returning_Visitor,False,4.9344739331306915,8.600865274347633,39.386677543478264,Returning_Visitor_False
0,0.0,0,0.0,3.091042453358316,5.267342562248606,0.059090909,0.104545455,0.0,0.0,Jul,2,2,1,3,Returning_Visitor,True,3.091042453358316,5.267342562248606,9.185714285714287,Returning_Visitor_True
0,0.0,0,0.0,2.8903717578961645,6.477003131647089,0.0,0.017647059,0.0,0.0,June,2,4,3,3,Returning_Visitor,False,2.8903717578961645,6.477003131647089,38.17764705882353,Returning_Visitor_False
2,3.295836866004329,0,0.0,1.6094379124341003,6.456769655572163,0.0,0.025,0.0,0.2,May,3,2,1,19,Returning_Visitor,False,1.9459101490553132,6.4967749901858625,110.33333333333333,Returning_Visitor_False
4,6.667232411821827,0,0.0,2.1972245773362196,6.113239604033903,0.016666667,0.016666667,0.0,0.0,Sep,3,2,3,5,Returning_Visitor,False,2.5649493574615367,7.120457845785958,103.00138889166668,Returning_Visitor_False
0,0.0,0,0.0,2.70805020110221,6.010940323690365,0.021428571,0.079761905,0.0,0.0,Jul,4,5,3,3,Returning_Visitor,False,2.70805020110221,6.010940323690365,29.061904764285714,Returning_Visitor_False
1,2.1972245773362196,0,0.0,3.9512437185814275,7.114904940812964,0.0,0.019230769,0.0,0.6,May,2,5,4,6,Returning_Visitor,False,3.970291913552122,7.1213870701929665,23.79166667307692,Returning_Visitor_False
0,0.0,0,0.0,0.6931471805599453,0.0,0.2,0.2,0.0,0.0,Jul,3,2,4,1,Returning_Visitor,True,0.6931471805599453,0.0,0.0,Returning_Visitor_True
0,0.0,0,0.0,1.0986122886681098,4.051784947803305,0.0,0.05,0.0,0.0,Nov,8,2,1,3,Returning_Visitor,False,1.0986122886681098,4.051784947803305,28.25,Returning_Visitor_False
0,0.0,0,0.0,1.6094379124341003,4.68213122712422,0.0,0.05,0.0,0.8,May,2,5,3,2,Returning_Visitor,False,1.6094379124341003,4.68213122712422,26.75,Returning_Visitor_False
0,0.0,0,0.0,1.9459101490553132,5.749392985908253,0.0,0.05,0.0,0.0,May,2,4,3,1,Returning_Visitor,False,1.9459101490553132,5.749392985908253,52.166666666666664,Returning_Visitor_False
0,0.0,0,0.0,2.302585092994046,4.983606621708336,0.066666667,0.122222222,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,2.302585092994046,4.983606621708336,16.11111111111111,Returning_Visitor_False
10,6.2292767712630095,1,1.791759469228055,4.07753744390572,7.835692894225281,0.001318681,0.005582418,1.8798492947468537,0.0,Nov,3,2,3,10,Returning_Visitor,False,4.248495242049359,8.019835080186372,44.053272810144925,Returning_Visitor_False
17,5.392452797514156,4,6.69641677311769,4.31748811353631,8.186671589477442,0.019767442,0.015609868,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,4.564348191467836,8.438146932772428,48.62090424210526,Returning_Visitor_False
3,3.657130755799356,1,2.3978952727983707,3.2188758248682006,5.6185876285929695,0.0,0.006666667,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,3.367295829986474,5.778426017651967,11.508928571428571,New_Visitor_False
0,0.0,0,0.0,1.3862943611198906,4.324132656254979,0.066666667,0.1,0.0,0.0,Dec,2,2,2,3,New_Visitor,False,1.3862943611198906,4.324132656254979,24.833333333333332,New_Visitor_False
0,0.0,0,0.0,1.3862943611198906,3.7013019741124933,0.0,0.033333333,0.0,0.0,Dec,1,1,9,8,New_Visitor,False,1.3862943611198906,3.7013019741124933,13.166666666666666,New_Visitor_False
3,4.5308057706633225,0,0.0,2.4849066497880004,6.282266746896006,0.015384615,0.015384615,3.813232314024344,0.0,May,1,1,1,2,New_Visitor,False,2.70805020110221,6.440680689236964,44.70238095214285,New_Visitor_False
0,0.0,0,0.0,2.302585092994046,4.639571612705423,0.0,0.022222222,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,2.302585092994046,4.639571612705423,11.38888888888889,Returning_Visitor_False
2,4.135166556742356,0,0.0,2.772588722239781,7.5762955101200165,0.0,0.007291667,0.0,0.0,Nov,2,10,2,4,Returning_Visitor,True,2.8903717578961645,7.607325123508408,118.34627452941176,Returning_Visitor_True
